Probe Detununing,Rydberg Population
-177724000.0,9.151273639991704e-06
-177096000.0,9.243528089536358e-06
-176468000.0,9.337063877838112e-06
-175840000.0,9.43190307492817e-06
-175212000.0,9.5280681993451e-06
-174584000.0,9.625582228594488e-06
-173956000.0,9.724468609884024e-06
-173328000.0,9.82475127113965e-06
-172700000.0,9.92645463231655e-06
-172072000.0,1.0029603617007877e-05
-171444000.0,1.0134223664363399e-05
-170816000.0,1.0240340741326976e-05
-170188000.0,1.0347981355201872e-05
-169560000.0,1.045717256655295e-05
-168932000.0,1.0567942002457785e-05
-168304000.0,1.0680317870115667e-05
-167676000.0,1.0794328970825087e-05
-167048000.0,1.0910004714343098e-05
-166420000.0,1.102737513363568e-05
-165792000.0,1.1146470900031252e-05
-165164000.0,1.1267323338792778e-05
-164536000.0,1.1389964445115932e-05
-163908000.0,1.151442690057294e-05
-163280000.0,1.1640744090009528e-05
-162652000.0,1.176895011891343e-05
-162024000.0,1.1899079831267626e-05
-161396000.0,1.2031168827904041e-05
-160768000.0,1.2165253485371492e-05
-160140000.0,1.2301370975336702e-05
-159512000.0,1.2439559284533835e-05
-158884000.0,1.2579857235280237e-05
-158256000.0,1.2722304506575321e-05
-157628000.0,1.2866941655804125e-05
-157000000.0,1.3013810141060562e-05
-156372000.0,1.3162952344115508e-05
-155744000.0,1.331441159404459e-05
-155116000.0,1.3468232191543574e-05
-154488000.0,1.3624459433946901e-05
-153860000.0,1.3783139640979383e-05
-153232000.0,1.3944320181257208e-05
-152604000.0,1.4108049499571664e-05
-151976000.0,1.427437714497374e-05
-151348000.0,1.4443353799689944e-05
-150720000.0,1.4615031308896788e-05
-150092000.0,1.4789462711381152e-05
-149464000.0,1.4966702271119425e-05
-148836000.0,1.5146805509800082e-05
-148208000.0,1.532982924032976e-05
-147580000.0,1.5515831601348825e-05
-146952000.0,1.570487209279546e-05
-146324000.0,1.5897011612552188e-05
-145696000.0,1.609231249421096e-05
-145068000.0,1.6290838546000132e-05
-144440000.0,1.649265509090457e-05
-143812000.0,1.669782900803108e-05
-143184000.0,1.69064287752538e-05
-142556000.0,1.711852451319037e-05
-141928000.0,1.733418803054906e-05
-141300000.0,1.755349287090459e-05
-140672000.0,1.7776514360942738e-05
-140044000.0,1.8003329660234868e-05
-139416000.0,1.8234017812592098e-05
-138788000.0,1.8468659799056435e-05
-138160000.0,1.8707338592590034e-05
-137532000.0,1.8950139214520357e-05
-136904000.0,1.9197148792810297e-05
-136276000.0,1.944845662221455e-05
-135648000.0,1.9704154226394323e-05
-135020000.0,1.9964335422062518e-05
-134392000.0,2.0229096385234875e-05
-133764000.0,2.0498535719661363e-05
-133136000.0,2.077275452752717e-05
-132508000.0,2.1051856482499935e-05
-131880000.0,2.1335947905215998e-05
-131252000.0,2.1625137841300284e-05
-130624000.0,2.191953814201021e-05
-129996000.0,2.2219263547608723e-05
-129368000.0,2.2524431773569728e-05
-128740000.0,2.283516359972448e-05
-128112000.0,2.315158296246519e-05
-127484000.0,2.347381705012082e-05
